k1_x,k1_y,k1_z,k2_x,k2_y,k2_z
0.00884,0.046919999999999996,0.714,-0.2584323809523809,-0.07997523809523809,0.694
0.011559999999999999,0.046919999999999996,0.714,-0.25674,-0.08117999999999999,0.693
0.01969238095238095,0.04685428571428571,0.713,-0.2473838095238095,-0.08071142857142857,0.689
0.02637142857142857,0.05071428571428571,0.71,-0.24404857142857145,-0.07916857142857144,0.687
0.0426,0.05071428571428571,0.71,-0.24143142857142857,-0.07916857142857144,0.687
0.05477142857142857,0.053419047619047616,0.71,-0.22311333333333333,-0.07870761904761905,0.683
0.07296380952380951,0.05659809523809523,0.716,-0.21010380952380953,-0.07740666666666667,0.683
0.08469428571428572,0.059905714285714284,0.723,-0.1895657142857143,-0.07621714285714286,0.684
0.09233999999999999,0.06595714285714285,0.729,-0.18123714285714287,-0.07393428571428572,0.687
0.09650571428571429,0.06595714285714285,0.729,-0.17313333333333336,-0.07252,0.686
0.09969142857142857,0.06901714285714286,0.732,-0.1697742857142857,-0.07220285714285715,0.683
0.10108571428571429,0.06762285714285715,0.732,-0.1713257142857143,-0.07361142857142858,0.684
0.09776,0.06864,0.728,-0.17861904761904762,-0.07079809523809524,0.682
0.09158,0.06679142857142857,0.723,-0.18845714285714288,-0.07059047619047619,0.68
0.040840952380952374,0.06226571428571428,0.703,-0.24298285714285717,-0.06709714285714287,0.684
0.0336,0.05142857142857143,0.72,-0.24437619047619044,-0.07967333333333333,0.703
0.03941142857142857,0.04909142857142857,0.726,-0.24303714285714284,-0.0783342857142857,0.703
0.046517142857142854,0.046517142857142854,0.729,-0.23365238095238094,-0.08406190476190477,0.695
0.04976761904761905,0.044160000000000005,0.736,-0.22652380952380952,-0.09263809523809523,0.71
0.053071428571428575,0.04316476190476191,0.743,-0.22612285714285715,-0.09438761904761905,0.713
0.059513333333333335,0.03691333333333333,0.791,-0.2380047619047619,-0.10426190476190475,0.755
0.054413333333333334,0.03886666666666667,0.742,-0.24231904761904763,-0.10426190476190475,0.755
0.05662285714285714,0.03704952380952381,0.734,-0.2470857142857143,-0.09811809523809524,0.752
0.05545047619047619,0.0386047619047619,0.737,-0.22453714285714285,-0.09777142857142856,0.708
0.05738857142857143,0.040794285714285713,0.726,-0.24097333333333332,-0.10246666666666666,0.742
0.05508,0.04556,0.714,-0.23052000000000003,-0.08458857142857144,0.678
0.05723333333333333,0.050499999999999996,0.707,-0.23181142857142858,-0.07684,0.678
0.059280000000000006,0.07361142857142858,0.684,-0.22713428571428573,-0.05318571428571429,0.657
0.0585,0.08678571428571429,0.675,-0.22382,-0.0403,0.651
0.05824,0.08768000000000001,0.672,-0.22525714285714288,-0.03517714285714286,0.648
0.06052857142857144,0.09111142857142858,0.669,-0.22298571428571431,-0.03255714285714286,0.645
0.06152571428571429,0.09704571428571429,0.666,-0.22298571428571431,-0.031328571428571435,0.645
0.06025714285714286,0.09450857142857144,0.666,-0.22298571428571431,-0.03378571428571429,0.645
0.06052857142857144,0.08983714285714287,0.669,-0.2233314285714286,-0.03383809523809524,0.646
0.05934285714285714,0.0886952380952381,0.67,-0.22264000000000003,-0.03373333333333334,0.644
0.05987428571428571,0.08433904761904763,0.676,-0.22326380952380953,-0.04042380952380952,0.653
0.05910666666666667,0.08119047619047619,0.682,-0.2227,-0.04429047619047619,0.655
0.05684,0.07905333333333334,0.686,-0.22381904761904764,-0.04854666666666667,0.662
0.05593809523809523,0.0743647619047619,0.691,-0.22780000000000003,-0.05551428571428572,0.67
0.056261904761904756,0.07082380952380952,0.695,-0.22592,-0.0608,0.672
0.051846666666666666,0.06127333333333334,0.707,-0.23052000000000003,-0.06392571428571428,0.678
0.047874285714285716,0.06001142857142856,0.708,-0.2372285714285714,-0.06899999999999999,0.69
0.04266,0.05891142857142857,0.711,-0.2372285714285714,-0.07162857142857142,0.69
0.03870571428571428,0.055002857142857145,0.713,-0.24152095238095236,-0.07304857142857142,0.691
0.023799999999999998,0.05236,0.714,-0.25992190476190474,-0.07644761904761904,0.698
-0.007626666666666666,0.03813333333333333,0.728,-0.30094095238095236,-0.0953104761904762,0.788
-0.0006904761904761905,0.039357142857142854,0.725,-0.2620542857142857,-0.08735142857142857,0.711
0.004853333333333334,0.03813333333333333,0.728,-0.2600752380952381,-0.08759714285714285,0.713
0.017333333333333333,0.03952,0.728,-0.2552828571428571,-0.08870571428571428,0.711
0.026928571428571427,0.04073809523809524,0.725,-0.24066666666666667,-0.08866666666666666,0.7
0.04073809523809524,0.04211904761904762,0.725,-0.23466095238095236,-0.08974285714285714,0.698
0.0655952380952381,0.05316666666666666,0.725,-0.2145,-0.08514,0.693
0.07845428571428571,0.053459999999999994,0.729,-0.20687809523809522,-0.08526285714285714,0.694
0.08598285714285714,0.05662285714285714,0.734,-0.1922638095238095,-0.08071142857142857,0.689
0.08817428571428572,0.06040285714285715,0.729,-0.18859999999999996,-0.0782,0.69
0.08817428571428572,0.061791428571428574,0.729,-0.18832666666666667,-0.07677428571428571,0.689
0.08630952380952381,0.06007142857142857,0.725,-0.18928857142857144,-0.07610571428571429,0.683
0.08011714285714285,0.05957428571428571,0.719,-0.19579333333333335,-0.07740666666666667,0.683
0.0714,0.0578,0.714,-0.20589904761904765,-0.0746952380952381,0.682
0.058828571428571425,0.05747619047619047,0.71,-0.21436190476190478,-0.07577142857142857,0.68
0.0489447619047619,0.05967238095238095,0.704,-0.24558857142857143,-0.06709714285714287,0.684
0.03404857142857143,0.05808285714285714,0.701,-0.24746857142857145,-0.06560190476190476,0.682
0.025888571428571427,0.059079047619047614,0.697,-0.25992,-0.06709714285714287,0.684
0.023166666666666665,0.05890952380952381,0.695,-0.2676857142857143,-0.06807809523809524,0.694
0.024560952380952378,0.059079047619047614,0.697,-0.260507619047619,-0.06365047619047619,0.689
0.03137809523809523,0.059418095238095235,0.701,-0.25693809523809524,-0.06439714285714286,0.683
0.03553523809523809,0.05699047619047619,0.704,-0.24666571428571432,-0.07000857142857143,0.687
0.03827142857142857,0.05572857142857142,0.705,-0.24369333333333335,-0.07121333333333334,0.686
0.04113142857142857,0.05461714285714286,0.708,-0.2400257142857143,-0.07220285714285715,0.683
0.04266,0.05349428571428571,0.711,-0.23985714285714285,-0.07425714285714285,0.69
0.042839999999999996,0.05236,0.714,-0.2385428571428571,-0.0795142857142857,0.69
0.04211904761904762,0.049023809523809525,0.725,-0.24037999999999998,-0.08282,0.707
0.04082285714285714,0.04512,0.752,-0.24713333333333334,-0.099,0.77
0.04702761904761905,0.045623809523809525,0.737,-0.24839999999999998,-0.09576,0.756
0.05061333333333333,0.04784,0.728,-0.2276980952380952,-0.08333619047619048,0.689
0.0582047619047619,0.049987619047619045,0.719,-0.22572666666666663,-0.08094571428571429,0.691
0.06324,0.05644,0.714,-0.21534000000000003,-0.07436666666666668,0.679
0.07889142857142857,0.06810285714285715,0.708,-0.20544,-0.06592,0.672
0.08147333333333333,0.06935333333333334,0.707,-0.20605142857142858,-0.06354857142857143,0.674
0.08392857142857142,0.07855714285714285,0.705,-0.19942571428571432,-0.057980000000000004,0.669
0.08392857142857142,0.07855714285714285,0.705,-0.19882952380952382,-0.057806666666666666,0.667
0.0838095238095238,0.07978666666666666,0.704,-0.19882952380952382,-0.05653619047619048,0.667
0.08012666666666667,0.07743333333333333,0.707,-0.20416000000000004,-0.0608,0.672
0.07877999999999999,0.07204666666666666,0.707,-0.20544,-0.0608,0.672
0.0791142857142857,0.06964761904761904,0.71,-0.20378571428571432,-0.06364285714285714,0.675
0.07944857142857142,0.06858380952380952,0.713,-0.20469142857142858,-0.06392571428571428,0.678
0.07944857142857142,0.06858380952380952,0.713,-0.20469142857142858,-0.06521714285714286,0.678
0.08672285714285714,0.06896857142857143,0.717,-0.19076666666666667,-0.06919333333333334,0.679
0.09145333333333333,0.0708247619047619,0.722,-0.18845714285714288,-0.0692952380952381,0.68
0.09158,0.07229999999999999,0.723,-0.18516285714285716,-0.06870000000000001,0.687
0.09420380952380952,0.07357523809523808,0.722,-0.18430000000000002,-0.06531333333333333,0.679
0.09218571428571429,0.07579714285714285,0.717,-0.19264,-0.06464,0.672
0.08464285714285714,0.0711,0.711,-0.2009161904761905,-0.06354857142857143,0.674
0.07204666666666666,0.06800666666666666,0.707,-0.21696000000000001,-0.062079999999999996,0.672
0.05111333333333333,0.06571714285714286,0.697,-0.23557904761904763,-0.06098095238095238,0.674
0.03375714285714286,0.0642047619047619,0.695,-0.25764,-0.06392571428571428,0.678
0.00987142857142857,0.05988666666666666,0.691,-0.2709533333333334,-0.06272666666666667,0.679
0.019084761904761903,0.061202857142857135,0.691,-0.26578,-0.06272666666666667,0.679
0.049642857142857134,0.06288095238095237,0.695,-0.21952000000000002,-0.06464,0.672
0.057751428571428565,0.0643895238095238,0.697,-0.21696000000000001,-0.06336,0.672
0.07370476190476191,0.06829523809523809,0.71,-0.2065904761904762,-0.0667047619047619,0.68
0.07569142857142858,0.0661447619047619,0.716,-0.20598285714285716,-0.06650857142857143,0.678
0.07432761904761905,0.0661447619047619,0.716,-0.2046,-0.06949904761904763,0.682
0.06863904761904761,0.051656190476190474,0.743,-0.20846761904761904,-0.08759714285714285,0.713
0.06374095238095238,0.053714285714285714,0.752,-0.20846761904761904,-0.08895523809523809,0.713
0.062142857142857146,0.052142857142857144,0.75,-0.20875999999999997,-0.08771999999999999,0.714
